직함,나이,학력,코딩 경력(년),ML 경력(년),Python,R,SQL,C,C#,C++,Java,Javascript,Bash,PHP,MATLAB,Julia,Go,Scikit-learn,TensorFlow,Keras,PyTorch,Fast.ai,Xgboost,LightGBM,CatBoost,Caret,Tidymodels,JAX,PyTorch Lightning,Huggingface,Linear/Logistic Regression,Decision Trees/Random Forests,"Gradient Boosting (XGB, LGBM)",Bayesian Approaches,Evolutionary Approaches,Dense Neural Networks (MLP),CNN,GAN,RNN,"Transformer (BERT, GPT)","Autoencoder (DAE, VAE)",Graph Neural Networks,연봉 (USD)
Machine Learning/ MLops Engineer,22-24,Bachelor’s degree,3-5 years,Under 1 year,Python,,,,,C++,,Javascript,Bash,,,,,,  TensorFlow ,, PyTorch ,,,,,,,,,,,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"30,000-39,999"
Data Scientist,35-39,Master’s degree,10-20 years,4-5 years,Python,R,SQL,,,,,,,,,Julia,,  Scikit-learn ,  TensorFlow , Keras , PyTorch , Fast.ai , Xgboost , LightGBM , CatBoost ,, Tidymodels ,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"25,000-29,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Master’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Bachelor’s degree,3-5 years,I do not use machine learning methods,Python,,,C,,,,,,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000-3,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"7,500-9,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Master’s degree,5-10 years,I do not use machine learning methods,Python,R,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000-24,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,I prefer not to answer,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,, PyTorch Lightning ,,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,,,,,"3,000-3,999"
Data Scientist,30-34,Professional doctorate,5-10 years,5-10 years,,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,, Fast.ai ,,,,,,,,,,,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,
Data Scientist,50-54,Master’s degree,10-20 years,10-20 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,, CatBoost ,,,,, Huggingface ,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",,
Data Scientist,35-39,Master’s degree,5-10 years,4-5 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Data Scientist,30-34,Master’s degree,5-10 years,3-4 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,, Keras ,,, Xgboost ,,,,,, PyTorch Lightning , Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Bachelor’s degree,1-3 years,I do not use machine learning methods,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
Data Scientist,30-34,Master’s degree,3-5 years,3-4 years,Python,R,SQL,,,,,,,PHP,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM ,,,,,,,Linear or Logistic Regression,,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"4,000-4,999"
Data Scientist,45-49,Doctoral degree,3-5 years,1-2 years,Python,R,SQL,,,,,,Bash,,,,,  Scikit-learn ,,,, Fast.ai ,,,,, Tidymodels ,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"125,000-149,999"
Data Scientist,55-59,Master’s degree,10-20 years,10-20 years,Python,R,SQL,,,,,,,,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras ,, Fast.ai , Xgboost , LightGBM ,, Caret ,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"50,000-59,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Bachelor’s degree,< 1 years,I do not use machine learning methods,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000-3,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Professional doctorate,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,500-9,999"
Data Scientist,35-39,No formal education past high school,< 1 years,Under 1 year,Python,,,,,,,,,,,,,,  TensorFlow ,, PyTorch ,,,,,,,,,,,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Master’s degree,< 1 years,I do not use machine learning methods,Python,R,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
Data Scientist,30-34,Bachelor’s degree,1-3 years,2-3 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,, LightGBM ,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,"Autoencoder Networks (DAE, VAE, etc)",,"4,000-4,999"
Machine Learning/ MLops Engineer,30-34,Some college/university study without earning a bachelor’s degree,< 1 years,I do not use machine learning methods,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
Data Engineer,50-54,Some college/university study without earning a bachelor’s degree,5-10 years,Under 1 year,Python,,SQL,,,,,,,,,,Go,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"100,000-124,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Bachelor’s degree,3-5 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
Data Engineer,35-39,Master’s degree,20+ years,5-10 years,,,SQL,,,,,,,,,,,,,,,, Xgboost ,,, Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,Generative Adversarial Networks,,,,,
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
Data Scientist,25-29,Bachelor’s degree,3-5 years,2-3 years,Python,,,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
Data Scientist,30-34,No formal education past high school,3-5 years,Under 1 year,,,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,,Decision Trees or Random Forests,,,,,,,,,,,"3,000-3,999"
Data Scientist,30-34,Master’s degree,3-5 years,3-4 years,Python,R,SQL,,,,,,Bash,,,,,  Scikit-learn ,,,,, Xgboost , LightGBM ,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"80,000-89,999"
Data Scientist,45-49,Master’s degree,20+ years,10-20 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,, Tidymodels ,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"150,000-199,999"
Data Engineer,22-24,Bachelor’s degree,3-5 years,I do not use machine learning methods,Python,,SQL,,C#,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000-39,999"
Data Engineer,45-49,Bachelor’s degree,20+ years,1-2 years,Python,,SQL,C,,,,Javascript,Bash,PHP,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,, Huggingface ,,,,Bayesian Approaches,,,,,,,,,"150,000-199,999"
Data Scientist,30-34,Master’s degree,1-3 years,Under 1 year,,,,,,,Java,,,PHP,,,,,,,,,,,,,,,,,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,"3,000-3,999"
Data Scientist,30-34,Master’s degree,< 1 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,$0-999
Data Scientist,25-29,I prefer not to answer,1-3 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,,,,,,, CatBoost ,,,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"10,000-14,999"
Data Scientist,25-29,Bachelor’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,, Xgboost , LightGBM ,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"7,500-9,999"
Data Scientist,35-39,Master’s degree,5-10 years,5-10 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,, Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"30,000-39,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",60-69,I prefer not to answer,10-20 years,3-4 years,Python,,,C,,,,,,,MATLAB,,,  Scikit-learn ,  TensorFlow ,, PyTorch ,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"15,000-19,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Bachelor’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
Data Scientist,35-39,Bachelor’s degree,10-20 years,5-10 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,, LightGBM ,, Caret , Tidymodels ,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"100,000-124,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",55-59,Bachelor’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000-14,999"
Data Scientist,22-24,Master’s degree,3-5 years,4-5 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch , Fast.ai , Xgboost , LightGBM , CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,"Autoencoder Networks (DAE, VAE, etc)",,
Data Scientist,25-29,Bachelor’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM , CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,I prefer not to answer,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
Data Engineer,18-21,Bachelor’s degree,< 1 years,I do not use machine learning methods,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,000-69,999"
Data Scientist,22-24,Bachelor’s degree,< 1 years,2-3 years,Python,,SQL,,C#,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,"Autoencoder Networks (DAE, VAE, etc)",,$0-999
Machine Learning/ MLops Engineer,35-39,Bachelor’s degree,5-10 years,1-2 years,Python,,SQL,,,,Java,Javascript,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,$0-999
Data Scientist,35-39,Master’s degree,5-10 years,2-3 years,Python,,,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost , LightGBM ,,,,, PyTorch Lightning ,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"50,000-59,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000-3,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Master’s degree,3-5 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,, PyTorch ,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"30,000-39,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Bachelor’s degree,< 1 years,1-2 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,,,,,,,,,,,,,"90,000-99,999"
Data Scientist,22-24,Bachelor’s degree,3-5 years,Under 1 year,Python,,,,,,,,,,,,,,,,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,
Data Scientist,30-34,Bachelor’s degree,5-10 years,4-5 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,, Tidymodels ,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"125,000-149,999"
Machine Learning/ MLops Engineer,22-24,Bachelor’s degree,3-5 years,3-4 years,Python,,,,C#,,,,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,,,,,,, Huggingface ,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"10,000-14,999"
Data Scientist,25-29,Bachelor’s degree,3-5 years,1-2 years,Python,,,,,C++,,,,PHP,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,,Decision Trees or Random Forests,,Bayesian Approaches,,,,,Recurrent Neural Networks,,,Graph Neural Networks,"1,000-1,999"
Machine Learning/ MLops Engineer,25-29,Master’s degree,< 1 years,Under 1 year,Python,,SQL,,,,,,,,MATLAB,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"15,000-19,999"
Data Engineer,25-29,Master’s degree,3-5 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"5,000-7,499"
Data Engineer,30-34,Master’s degree,5-10 years,4-5 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,  TensorFlow ,, PyTorch ,, Xgboost , LightGBM ,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"15,000-19,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Master’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"2,000-2,999"
Data Scientist,55-59,Doctoral degree,10-20 years,2-3 years,Python,,,C,C#,C++,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",,"90,000-99,999"
Data Scientist,35-39,Doctoral degree,5-10 years,2-3 years,Python,,,,,,,,,,MATLAB,,,  Scikit-learn ,  TensorFlow ,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"1,000-1,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Some college/university study without earning a bachelor’s degree,3-5 years,Under 1 year,,R,,,,,,,,,,,,,,,,,,,,, Tidymodels ,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"7,500-9,999"
Machine Learning/ MLops Engineer,22-24,Bachelor’s degree,1-3 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,$0-999
Data Scientist,35-39,Doctoral degree,10-20 years,10-20 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"40,000-49,999"
Machine Learning/ MLops Engineer,30-34,Master’s degree,10-20 years,5-10 years,Python,,,,,,,,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,, Huggingface ,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"60,000-69,999"
Data Engineer,45-49,Some college/university study without earning a bachelor’s degree,20+ years,Under 1 year,Python,,SQL,,C#,C++,,,Bash,,,,,  Scikit-learn ,  TensorFlow ,,,,,,,,,,,,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,"25,000-29,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Bachelor’s degree,3-5 years,Under 1 year,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,000-89,999"
Data Scientist,30-34,Doctoral degree,5-10 years,5-10 years,Python,,SQL,,,,,Javascript,Bash,,,,,  Scikit-learn ,,, PyTorch , Fast.ai ,,,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"40,000-49,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Professional doctorate,10-20 years,4-5 years,Python,,,,,,,,,,MATLAB,,,,  TensorFlow , Keras ,,,,,,,,,,,,Decision Trees or Random Forests,,,Evolutionary Approaches,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Machine Learning/ MLops Engineer,30-34,No formal education past high school,10-20 years,5-10 years,Python,,,C,,C++,Java,Javascript,Bash,PHP,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM , CatBoost ,,,, PyTorch Lightning , Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",Graph Neural Networks,">$1,000,000"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Bachelor’s degree,< 1 years,I do not use machine learning methods,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning/ MLops Engineer,22-24,Bachelor’s degree,3-5 years,2-3 years,Python,,SQL,,,,,,Bash,,,,,,,, PyTorch ,,,,,,,,,,,,,,,,Convolutional Neural Networks,Generative Adversarial Networks,,,,,"7,500-9,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Bachelor’s degree,1-3 years,Under 1 year,,R,,,,,,,,,,,,,,,,,,,,, Tidymodels ,,,,Linear or Logistic Regression,,,,,,,,,,,,"80,000-89,999"
Machine Learning/ MLops Engineer,30-34,Master’s degree,3-5 years,1-2 years,Python,,SQL,,,,Java,,Bash,,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"5,000-7,499"
Data Scientist,55-59,Master’s degree,20+ years,4-5 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,, PyTorch , Fast.ai , Xgboost , LightGBM , CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"30,000-39,999"
